,seconds,date,hr
138443,"1256,302",[2023-04-23 18:31:10 551],122.0
138498,"1256,802",[2023-04-23 18:31:11 051],122.0
138556,"1257,302",[2023-04-23 18:31:11 551],122.0
138613,"1257,802",[2023-04-23 18:31:12 051],122.0
138671,"1258,302",[2023-04-23 18:31:12 551],122.0
138728,"1258,802",[2023-04-23 18:31:13 051],122.0
138785,"1259,302",[2023-04-23 18:31:13 551],122.0
138841,"1259,802",[2023-04-23 18:31:14 051],122.0
138896,"1260,302",[2023-04-23 18:31:14 551],123.0
138953,"1260,802",[2023-04-23 18:31:15 051],123.0
139010,"1261,302",[2023-04-23 18:31:15 551],123.0
139068,"1261,802",[2023-04-23 18:31:16 051],123.0
139126,"1262,302",[2023-04-23 18:31:16 551],123.0
139183,"1262,802",[2023-04-23 18:31:17 051],124.0
139240,"1263,302",[2023-04-23 18:31:17 551],124.0
139293,"1263,802",[2023-04-23 18:31:18 051],125.0
139350,"1264,302",[2023-04-23 18:31:18 551],124.0
139407,"1264,802",[2023-04-23 18:31:19 051],124.0
139465,"1265,302",[2023-04-23 18:31:19 551],125.0
139523,"1265,802",[2023-04-23 18:31:20 051],125.0
139581,"1266,302",[2023-04-23 18:31:20 551],126.0
139638,"1266,802",[2023-04-23 18:31:21 051],127.0
139697,"1267,302",[2023-04-23 18:31:21 551],127.0
139753,"1267,802",[2023-04-23 18:31:22 051],128.0
139810,"1268,302",[2023-04-23 18:31:22 551],128.0
139865,"1268,802",[2023-04-23 18:31:23 051],128.0
139923,"1269,302",[2023-04-23 18:31:23 551],129.0
139980,"1269,802",[2023-04-23 18:31:24 051],130.0
140037,"1270,302",[2023-04-23 18:31:24 551],130.0
140095,"1270,802",[2023-04-23 18:31:25 051],131.0
140153,"1271,302",[2023-04-23 18:31:25 551],132.0
140210,"1271,802",[2023-04-23 18:31:26 051],132.0
140265,"1272,302",[2023-04-23 18:31:26 551],132.0
140322,"1272,802",[2023-04-23 18:31:27 051],132.0
140380,"1273,302",[2023-04-23 18:31:27 551],132.0
140437,"1273,802",[2023-04-23 18:31:28 051],132.0
140494,"1274,302",[2023-04-23 18:31:28 551],132.0
140551,"1274,802",[2023-04-23 18:31:29 051],133.0
140609,"1275,302",[2023-04-23 18:31:29 551],133.0
140665,"1275,802",[2023-04-23 18:31:30 051],134.0
140721,"1276,302",[2023-04-23 18:31:30 551],135.0
140780,"1276,802",[2023-04-23 18:31:31 051],135.0
140838,"1277,302",[2023-04-23 18:31:31 551],136.0
140895,"1277,802",[2023-04-23 18:31:32 051],136.0
140953,"1278,302",[2023-04-23 18:31:32 551],136.0
141010,"1278,802",[2023-04-23 18:31:33 051],136.0
141067,"1279,302",[2023-04-23 18:31:33 551],136.0
141122,"1279,802",[2023-04-23 18:31:34 051],136.0
141179,"1280,302",[2023-04-23 18:31:34 551],135.0
141236,"1280,802",[2023-04-23 18:31:35 051],135.0
141294,"1281,302",[2023-04-23 18:31:35 551],136.0
141352,"1281,802",[2023-04-23 18:31:36 051],136.0
141409,"1282,302",[2023-04-23 18:31:36 551],135.0
141466,"1282,802",[2023-04-23 18:31:37 051],135.0
141519,"1283,302",[2023-04-23 18:31:37 551],135.0
141576,"1283,802",[2023-04-23 18:31:38 051],135.0
141634,"1284,302",[2023-04-23 18:31:38 551],134.0
141691,"1284,802",[2023-04-23 18:31:39 051],134.0
141750,"1285,302",[2023-04-23 18:31:39 551],135.0
141808,"1285,802",[2023-04-23 18:31:40 051],135.0
141866,"1286,302",[2023-04-23 18:31:40 551],136.0
141921,"1286,802",[2023-04-23 18:31:41 051],136.0
141977,"1287,302",[2023-04-23 18:31:41 551],136.0
142034,"1287,802",[2023-04-23 18:31:42 051],136.0
142092,"1288,302",[2023-04-23 18:31:42 551],136.0
142151,"1288,802",[2023-04-23 18:31:43 051],136.0
142209,"1289,302",[2023-04-23 18:31:43 551],136.0
142266,"1289,802",[2023-04-23 18:31:44 051],136.0
142325,"1290,302",[2023-04-23 18:31:44 551],136.0
142381,"1290,802",[2023-04-23 18:31:45 051],136.0
142439,"1291,302",[2023-04-23 18:31:45 551],137.0
142496,"1291,802",[2023-04-23 18:31:46 051],137.0
142554,"1292,302",[2023-04-23 18:31:46 551],136.0
142613,"1292,802",[2023-04-23 18:31:47 051],136.0
142670,"1293,302",[2023-04-23 18:31:47 551],136.0
142727,"1293,802",[2023-04-23 18:31:48 051],137.0
142782,"1294,302",[2023-04-23 18:31:48 551],137.0
